fact_id,text,times_posted,last_posted
FT-0001,"Russia spans 11 time zones — when it's 9am in Kaliningrad, it's already 8pm in Kamchatka 🕰️",1,2026-07-21T04:24:51+00:00
FT-0002,"The Mongol Empire covered ~23 million km² at its peak — the largest contiguous land empire in history. Roughly 16% of Earth's land, ruled from horseback.",1,2026-08-19T14:46:40+00:00
FT-0003,More than half of the Netherlands sits less than 1 metre above sea level — and about a quarter is below it.,1,2026-08-16T15:30:59+00:00
FT-0004,Canada has more lakes than the rest of the world combined.,1,2026-08-07T19:09:51+00:00
FT-0005,The British Empire at its 1920 peak covered about 24% of Earth's land area. 'The empire on which the sun never sets' was not a metaphor.,1,2026-08-14T15:02:27+00:00
FT-0006,Monaco is smaller than Central Park in New York (2.1 km² vs 3.4 km²).,1,2026-07-04T22:07:46+00:00
FT-0007,"Africa is bigger than China, India, the USA and most of Europe combined — Mercator maps just refuse to show it.",1,2026-08-18T15:40:36+00:00
FT-0008,"The Trans-Siberian Railway runs 9,289 km from Moscow to Vladivostok — the longest railway line on Earth.",1,2026-07-08T00:09:00+00:00
FT-0009,"Istanbul is the only major city that sits on two continents — and it served as an imperial capital for over 1,500 years.",2,2026-08-25T10:43:55+00:00
FT-0010,"In 1900, roughly 25% of the world's population lived in Europe. Today it's under 10%.",2,2026-08-24T18:54:03+00:00
FT-0011,"Vatican City is the smallest country on Earth (0.44 km²) — and its Swiss Guard, founded in 1506, is older than most modern states.",1,2026-08-22T03:03:29+00:00
FT-0012,Russia sold Alaska to the US in 1867 for $7.2 million — about 2 cents per acre.,1,2026-07-22T16:39:41+00:00
FT-0013,"The Louisiana Purchase (1803) doubled the size of the United States overnight, at roughly 3 cents an acre.",1,2026-08-14T23:31:02+00:00
FT-0014,The Ottoman Empire lasted 623 years (1299–1922) — longer than the entire history of most modern nations.,1,2026-08-09T18:55:05+00:00
FT-0015,"The shortest war in recorded history: Britain vs Zanzibar, 1896. Duration: about 38 minutes.",1,2026-08-12T19:14:58+00:00
FT-0016,France was still executing people by guillotine when Star Wars premiered. The last use was in 1977.,2,2026-08-26T23:23:04+00:00
FT-0017,Germany made its final WWI reparations payment in October 2010 — 92 years after the war ended.,1,2026-07-09T20:54:17+00:00
FT-0018,About 90% of the world's population lives in the Northern Hemisphere.,2,2026-08-25T04:48:50+00:00
FT-0019,"The Sahara is roughly the size of the United States — and it was green savanna with lakes and hippos just 6,000 years ago.",2,2026-08-24T07:15:01+00:00
FT-0020,"Indonesia is made up of over 17,000 islands and stretches wider than the continental United States.",1,2026-07-27T12:35:06+00:00
FT-0021,The Danube flows through or borders 10 countries — more than any other river on Earth.,1,2026-07-06T04:23:58+00:00
FT-0022,Mount Everest grows about 4 mm taller every year as the Indian plate keeps pushing into Asia.,1,2026-08-04T23:14:23+00:00
FT-0023,The Dead Sea shore sits about 430 m below sea level — the lowest dry land on Earth — and keeps dropping every year.,1,2026-08-02T00:06:42+00:00
FT-0024,44 countries have no coastline. Two are double-landlocked (you must cross TWO countries to reach the sea): Liechtenstein and Uzbekistan.,1,2026-07-22T20:18:26+00:00
FT-0025,"The Berlin Wall stood for 10,316 days. As of 2018, it has been gone longer than it ever stood.",1,2026-07-05T14:02:12+00:00
FT-0026,China used more cement in 2011–2013 than the United States used in the entire 20th century.,2,2026-08-28T05:18:51+00:00
FT-0027,"All the walls built across Chinese dynasties total roughly 21,000 km — about half the Earth's circumference.",2,2026-08-26T10:46:48+00:00
FT-0028,"At the Cold War's peak in 1986, the world held ~70,000 nuclear warheads. Today: ~12,000.",1,2026-07-15T00:01:27+00:00
FT-0029,The 1918 flu pandemic killed more people in 6 months than WWI did in 4 years.,1,2026-07-26T20:15:28+00:00
FT-0030,"Roman harbor concrete has survived 2,000 years of seawater. Modern marine concrete is designed to last decades.",1,2026-07-19T22:05:37+00:00
FT-0031,The Mongol conquests may have depopulated so much farmland that regrowing forests measurably cooled the planet.,1,2026-08-02T22:05:09+00:00
