filename,title,caption,category,era,region,status,last_posted,times_posted,notes
(1) Instagram - Google Chrome 9_26_2025 7_09_20 PM.png,Most Valuable Banknote in Every European Country,Which country's cash is actually worth the most? The answer might surprise you 💶,Economy & society,Modern,Europe,active,2026-07-23T01:21:38+00:00,1,posted 2026-07-23 id 2080100995321745485
(1) Instagram - Google Chrome 9_29_2025 11_34_14 AM.png,% of People That Believe in God with Absolute Certainty,"One country hits 64% absolute certainty in God, its neighbor barely cracks 10% - the fault lines of European faith, mapped.",Religion & culture,Modern,Europe,active,2026-07-13T10:45:57+00:00,1,posted 2026-07-13 id 2076619132401860834
(2) Instagram - Google Chrome 9_11_2025 12_31_00 PM.png,Percentage of Population Able to Hold a Conversation in French (in Europe),"Outside France, who can actually speak French? The numbers drop off a cliff faster than you'd think.",Demographics & language,Modern,Europe,active,2026-07-21T17:04:16+00:00,1,"part of language-ability series, strong thread candidate; posted 2026-07-21 id 2079613441325576374"
(2) Instagram - Google Chrome 9_11_2025 12_31_09 PM.png,Percentage of Population Able to Hold a Conversation in Spanish (in Europe),"99% in one country, 1% almost everywhere else - Spanish's reach across Europe is wildly uneven.",Demographics & language,Modern,Europe,active,2026-07-30T14:41:16+00:00,1,"part of language-ability series, strong thread candidate; posted 2026-07-30 id 2082838944132268308"
(2) Instagram - Google Chrome 9_11_2025 2_13_22 PM.png,Range of Flamingos,Flamingos on four continents - the range of these pink icons stretches from the Andes to India 🦩,Oddities & superlatives,Various,World,active,2026-07-13T20:45:56+00:00,1,posted 2026-07-13 id 2076770122958578144
(2) Instagram - Google Chrome 9_12_2025 1_19_16 PM.png,West and South Asia in 1000,"A thousand years ago, this is what the map from Byzantium to Khotan actually looked like - and most of these empires you've never heard of.",Empires & borders,Medieval,Middle East,active,,0,"dense map, strong thread candidate"
(2) Instagram - Google Chrome 9_19_2025 1_52_35 PM.png,McDonald's Around the World,From 1940 in Canada to still nowhere in parts of Africa - the spread of the Golden Arches is basically a map of globalization itself.,Economy & society,Modern,World,active,2026-08-16T02:06:01+00:00,1,posted 2026-08-16 id 2088809473448054887
(2) Instagram - Google Chrome 9_23_2025 4_49_18 PM.png,Europe in 1295,"Before nation-states, Europe was a patchwork of kingdoms, khanates and crusader remnants - see how different the map looked in 1295.",Empires & borders,Medieval,Europe,active,2026-07-31T14:58:04+00:00,1,"strong thread candidate; posted 2026-07-31 id 2083205558711341310; top performer wk 2026-08-02 (45,433 imp)"
(3) Instagram - Google Chrome 10_10_2025 10_54_10 AM.png,Year and Method of Last Execution in Europe,The last execution in every European country — and how it was done. Iceland: 1830. Belarus: still counting.,Oddities & superlatives,Modern,Europe,active,2026-08-06T11:00:07+00:00,1,posted 2026-08-06 id 2085320005340565752
(3) Instagram - Google Chrome 10_17_2025 7_20_00 PM.png,Political Ad Spending 2018-2025 on Google in the EU,Germany alone dropped $22M on Google political ads since 2018 - see how every EU country stacks up.,Economy & society,Modern,Europe,active,2026-07-03T04:25:44+00:00,1,posted 2026-07-03 id 2072899569898463515
(3) Instagram - Google Chrome 10_19_2025 2_14_02 PM.png,Austria-Hungary's Regions with Flags and Coat of Arms,Every region of Austria-Hungary had its own flag and coat of arms - a heraldic tour of an empire that no longer exists.,Royal houses,19th century,Europe,active,2026-07-27T17:25:54+00:00,1,posted 2026-07-27 id 2081793210779636017
